date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:54:04	118/118	---MCZ	200	added ('OK')	text/plain	date:Sun,%2028%20Jul%202024%2017:54:03%20GMT	https://ramsteinboyscouts.com/robots.txt		(from )
13:54:05	74659/74659	---MCZ	200	added ('OK')	text/html	date:Sun,%2028%20Jul%202024%2017:54:04%20GMT	https://ramsteinboyscouts.com/	/Users/lucienninfo/websites/troop4gaspeefinal/ramsteinboyscouts.com/index.html	(from )
13:54:10	270104/270104	---MCZ	200	added ('OK')	text/css	etag:W/%2266a18717-41f18%22	https://ramsteinboyscouts.com/wp-content/uploads/siteground-optimizer-assets/siteground-optimizer-combined-css-a649dcb0a2f5daa0cfa58e2d6914474b.css	/Users/lucienninfo/websites/troop4gaspeefinal/ramsteinboyscouts.com/wp-content/uploads/siteground-optimizer-assets/siteground-optimizer-combined-css-a649dcb0a2f5daa0cfa58e2d6914474b.css	(from https://ramsteinboyscouts.com/)
13:54:23	87553/87553	---MCZ	200	added ('OK')	application/javascript	etag:W/%22654c0ac3-15601%22	https://ramsteinboyscouts.com/wp-includes/js/jquery/jquery.min.js?ver=3.7.1	/Users/lucienninfo/websites/troop4gaspeefinal/ramsteinboyscouts.com/wp-includes/js/jquery/jquery.minf43b.js	(from https://ramsteinboyscouts.com/)
13:54:55	772239/772239	---M--	200	added ('OK')	image/jpeg	etag:%226384910d-bc88f%22	http://ramsteinboyscouts.com/wp-content/uploads/2022/11/Full-SizedJPEG-51_photo_SBBC-17-scaled.jpg	/Users/lucienninfo/websites/troop4gaspeefinal/ramsteinboyscouts.com/wp-content/uploads/2022/11/Full-SizedJPEG-51_photo_SBBC-17-scaled.jpg	(from https://ramsteinboyscouts.com/)
13:54:55	13577/13577	---MCZ	200	added ('OK')	application/javascript	etag:W/%2264d57390-3509%22	https://ramsteinboyscouts.com/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1	/Users/lucienninfo/websites/troop4gaspeefinal/ramsteinboyscouts.com/wp-includes/js/jquery/jquery-migrate.min5589.js	(from https://ramsteinboyscouts.com/)
13:54:55	709/709	---MC-	200	added ('OK')	application/rss+xml	etag:%22bdb9708631b65b1a530002df91627099%22	https://ramsteinboyscouts.com/comments/feed/	/Users/lucienninfo/websites/troop4gaspeefinal/ramsteinboyscouts.com/comments/feed/index.html	(from https://ramsteinboyscouts.com/)
13:54:55	815/815	---MC-	200	added ('OK')	application/rss+xml	etag:%22bdb9708631b65b1a530002df91627099%22	https://ramsteinboyscouts.com/feed/	/Users/lucienninfo/websites/troop4gaspeefinal/ramsteinboyscouts.com/feed/index.html	(from https://ramsteinboyscouts.com/)
13:54:55	4165/4165	---MCZ	200	added ('OK')	application/javascript	etag:W/%2266a186c9-1045%22	https://ramsteinboyscouts.com/wp-content/uploads/siteground-optimizer-assets/twbbwg-circle.min.js?ver=1.2.2	/Users/lucienninfo/websites/troop4gaspeefinal/ramsteinboyscouts.com/wp-content/uploads/siteground-optimizer-assets/twbbwg-circle.min8d1e.js	(from https://ramsteinboyscouts.com/)
13:54:57	6221/6221	---MCZ	200	added ('OK')	application/javascript	etag:W/%2266a186c9-184d%22	https://ramsteinboyscouts.com/wp-content/uploads/siteground-optimizer-assets/twbbwg-global.min.js?ver=1.0.0	/Users/lucienninfo/websites/troop4gaspeefinal/ramsteinboyscouts.com/wp-content/uploads/siteground-optimizer-assets/twbbwg-global.min8a54.js	(from https://ramsteinboyscouts.com/)
